#options: 1280x720 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=3 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=48 keyint_min=25 scenecut=0 intra_refresh=0 rc_lookahead=48 rc=abr mbtree=1 bitrate=2400 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=4800 vbv_bufsize=9600 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:25.69 aq:8.80 tex:17944 mv:2311 misc:6473 imb:3600 pmb:0 smb:0 d:- ref:;
in:3 out:1 type:P dur:2 cpbdur:2 q:25.69 aq:16.54 tex:110404 mv:15729 misc:555 imb:2758 pmb:55 smb:787 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:25.69 aq:11.00 tex:910 mv:556 misc:374 imb:0 pmb:2752 smb:848 d:s ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:25.69 aq:11.00 tex:27 mv:4 misc:249 imb:0 pmb:2 smb:3598 d:- ref:0 ;
in:5 out:4 type:P dur:2 cpbdur:2 q:25.69 aq:17.35 tex:49783 mv:18268 misc:1989 imb:1000 pmb:916 smb:1684 d:- ref:0 ;
in:4 out:5 type:b dur:2 cpbdur:2 q:25.69 aq:18.77 tex:20240 mv:19025 misc:1447 imb:386 pmb:1298 smb:1916 d:s ref:0 ;
in:6 out:6 type:P dur:2 cpbdur:2 q:21.69 aq:13.09 tex:114832 mv:25587 misc:1253 imb:997 pmb:1686 smb:917 d:- ref:0 ;
in:10 out:7 type:P dur:2 cpbdur:2 q:24.16 aq:15.38 tex:122021 mv:25668 misc:1135 imb:1221 pmb:1324 smb:1055 d:s ref:0 ;
in:8 out:8 type:B dur:2 cpbdur:2 q:24.13 aq:16.26 tex:39194 mv:23224 misc:2342 imb:393 pmb:1596 smb:1611 d:s ref:0 ;
in:7 out:9 type:b dur:2 cpbdur:2 q:24.11 aq:17.37 tex:32768 mv:20345 misc:2367 imb:377 pmb:1341 smb:1882 d:s ref:0 ;
in:9 out:10 type:b dur:2 cpbdur:2 q:24.14 aq:17.17 tex:18391 mv:14851 misc:2686 imb:134 pmb:1351 smb:2115 d:- ref:0 ;
in:13 out:11 type:P dur:2 cpbdur:2 q:20.16 aq:11.17 tex:189589 mv:24578 misc:1185 imb:675 pmb:1944 smb:981 d:s ref:0 ;
in:12 out:12 type:B dur:2 cpbdur:2 q:24.10 aq:18.00 tex:9168 mv:8501 misc:2211 imb:74 pmb:791 smb:2735 d:s ref:0 ;
in:11 out:13 type:b dur:2 cpbdur:2 q:24.13 aq:17.68 tex:12403 mv:13094 misc:2623 imb:84 pmb:1223 smb:2293 d:s ref:0 ;
in:17 out:14 type:P dur:2 cpbdur:2 q:21.24 aq:10.98 tex:159438 mv:23080 misc:1242 imb:820 pmb:1896 smb:884 d:s ref:0 ;
in:15 out:15 type:B dur:2 cpbdur:2 q:21.23 aq:13.41 tex:43510 mv:19096 misc:2354 imb:103 pmb:1946 smb:1551 d:s ref:0 ;
in:14 out:16 type:b dur:2 cpbdur:2 q:21.22 aq:14.54 tex:19698 mv:14025 misc:2757 imb:75 pmb:1425 smb:2100 d:s ref:0 ;
in:16 out:17 type:b dur:2 cpbdur:2 q:21.24 aq:14.94 tex:14785 mv:10597 misc:2714 imb:45 pmb:1296 smb:2259 d:- ref:0 ;
in:21 out:18 type:P dur:2 cpbdur:2 q:20.63 aq:11.58 tex:110042 mv:18280 misc:1790 imb:380 pmb:1860 smb:1360 d:s ref:0 ;
in:19 out:19 type:B dur:2 cpbdur:2 q:21.24 aq:13.87 tex:25004 mv:13626 misc:2610 imb:57 pmb:1571 smb:1972 d:s ref:0 ;
in:18 out:20 type:b dur:2 cpbdur:2 q:21.24 aq:15.27 tex:15575 mv:11123 misc:2694 imb:34 pmb:1349 smb:2217 d:s ref:0 ;
in:20 out:21 type:b dur:2 cpbdur:2 q:21.23 aq:15.29 tex:9281 mv:7900 misc:2691 imb:12 pmb:1101 smb:2487 d:- ref:0 ;
in:25 out:22 type:P dur:2 cpbdur:2 q:20.08 aq:12.10 tex:539752 mv:20393 misc:583 imb:2502 pmb:274 smb:824 d:s ref:0 ;
in:23 out:23 type:B dur:2 cpbdur:2 q:20.62 aq:12.79 tex:55650 mv:12579 misc:2347 imb:149 pmb:1726 smb:1725 d:s ref:0 ;
in:22 out:24 type:b dur:2 cpbdur:2 q:20.62 aq:14.86 tex:13598 mv:8279 misc:2619 imb:27 pmb:1149 smb:2424 d:s ref:0 ;
in:24 out:25 type:b dur:2 cpbdur:2 q:20.62 aq:14.40 tex:19540 mv:8597 misc:2703 imb:93 pmb:1183 smb:2324 d:- ref:0 ;
in:29 out:26 type:P dur:2 cpbdur:2 q:19.03 aq:11.10 tex:321995 mv:25644 misc:713 imb:705 pmb:2132 smb:763 d:s ref:0 ;
in:27 out:27 type:B dur:2 cpbdur:2 q:20.06 aq:14.01 tex:78982 mv:26961 misc:1793 imb:148 pmb:2240 smb:1212 d:s ref:0 ;
in:26 out:28 type:b dur:2 cpbdur:2 q:20.07 aq:15.15 tex:33711 mv:16648 misc:2761 imb:64 pmb:1646 smb:1890 d:s ref:0 ;
in:28 out:29 type:b dur:2 cpbdur:2 q:20.06 aq:15.27 tex:41326 mv:20671 misc:2299 imb:94 pmb:1972 smb:1534 d:- ref:0 ;
in:33 out:30 type:P dur:2 cpbdur:2 q:20.46 aq:13.13 tex:219841 mv:25067 misc:828 imb:698 pmb:1973 smb:929 d:s ref:0 ;
in:31 out:31 type:B dur:2 cpbdur:2 q:20.45 aq:15.14 tex:60553 mv:24850 misc:2205 imb:119 pmb:2038 smb:1443 d:s ref:0 ;
in:30 out:32 type:b dur:2 cpbdur:2 q:20.44 aq:15.94 tex:32109 mv:18655 misc:2612 imb:86 pmb:1796 smb:1718 d:s ref:0 ;
in:32 out:33 type:b dur:2 cpbdur:2 q:20.45 aq:15.68 tex:39070 mv:20641 misc:2377 imb:104 pmb:1881 smb:1615 d:- ref:0 ;
in:37 out:34 type:P dur:2 cpbdur:2 q:20.89 aq:13.42 tex:209598 mv:26117 misc:829 imb:797 pmb:1859 smb:944 d:s ref:0 ;
in:35 out:35 type:B dur:2 cpbdur:2 q:20.88 aq:15.27 tex:74318 mv:27487 misc:2003 imb:203 pmb:2035 smb:1362 d:s ref:0 ;
in:34 out:36 type:b dur:2 cpbdur:2 q:20.88 aq:16.23 tex:39374 mv:20107 misc:2407 imb:110 pmb:1829 smb:1661 d:s ref:0 ;
in:36 out:37 type:b dur:2 cpbdur:2 q:20.88 aq:15.67 tex:42571 mv:20766 misc:2343 imb:147 pmb:1847 smb:1606 d:- ref:0 ;
in:39 out:38 type:P dur:2 cpbdur:2 q:21.01 aq:14.21 tex:176172 mv:24431 misc:853 imb:761 pmb:1903 smb:936 d:s ref:0 ;
in:38 out:39 type:b dur:2 cpbdur:2 q:21.01 aq:16.22 tex:43637 mv:20853 misc:2430 imb:139 pmb:1891 smb:1570 d:t ref:0 ;
in:43 out:40 type:P dur:2 cpbdur:2 q:21.37 aq:10.69 tex:233141 mv:18485 misc:542 imb:2606 pmb:160 smb:834 d:s ref:0 ;
in:41 out:41 type:B dur:2 cpbdur:2 q:21.37 aq:14.88 tex:129367 mv:25793 misc:1488 imb:536 pmb:1952 smb:1112 d:s ref:0 ;
in:40 out:42 type:b dur:2 cpbdur:2 q:21.36 aq:16.33 tex:38848 mv:20168 misc:2448 imb:137 pmb:1797 smb:1666 d:t ref:0 ;
in:42 out:43 type:b dur:2 cpbdur:2 q:21.37 aq:16.57 tex:68768 mv:19615 misc:2281 imb:381 pmb:1706 smb:1513 d:- ref:0 ;
in:47 out:44 type:P dur:2 cpbdur:2 q:21.44 aq:10.68 tex:100660 mv:21611 misc:945 imb:1412 pmb:1262 smb:926 d:s ref:0 ;
in:45 out:45 type:B dur:2 cpbdur:2 q:21.44 aq:12.50 tex:37098 mv:20339 misc:2363 imb:260 pmb:1766 smb:1574 d:s ref:0 ;
in:44 out:46 type:b dur:2 cpbdur:2 q:21.44 aq:13.90 tex:17828 mv:12826 misc:2746 imb:130 pmb:1408 smb:2062 d:s ref:0 ;
in:46 out:47 type:b dur:2 cpbdur:2 q:21.44 aq:13.77 tex:16752 mv:13631 misc:2657 imb:101 pmb:1561 smb:1938 d:- ref:0 ;
in:48 out:48 type:I dur:2 cpbdur:2 q:18.14 aq:7.78 tex:283384 mv:53899 misc:501 imb:3600 pmb:0 smb:0 d:s ref:;
in:51 out:49 type:P dur:2 cpbdur:2 q:21.84 aq:10.89 tex:89304 mv:21928 misc:1192 imb:1233 pmb:1301 smb:1066 d:s ref:0 ;
in:50 out:50 type:B dur:2 cpbdur:2 q:21.84 aq:13.67 tex:18453 mv:15417 misc:2730 imb:216 pmb:1450 smb:1934 d:t ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:21.84 aq:13.57 tex:15756 mv:15741 misc:2759 imb:211 pmb:1471 smb:1918 d:s ref:0 ;
in:55 out:52 type:P dur:2 cpbdur:2 q:21.56 aq:11.91 tex:76003 mv:21529 misc:1420 imb:1129 pmb:1350 smb:1121 d:s ref:0 ;
in:53 out:53 type:B dur:2 cpbdur:2 q:21.83 aq:12.94 tex:24483 mv:17979 misc:2538 imb:239 pmb:1603 smb:1758 d:t ref:0 ;
in:52 out:54 type:b dur:2 cpbdur:2 q:21.83 aq:14.23 tex:13192 mv:12129 misc:2703 imb:139 pmb:1316 smb:2145 d:s ref:0 ;
in:54 out:55 type:b dur:2 cpbdur:2 q:21.83 aq:14.07 tex:13397 mv:12304 misc:2747 imb:120 pmb:1362 smb:2118 d:- ref:0 ;
in:59 out:56 type:P dur:2 cpbdur:2 q:21.73 aq:11.68 tex:55218 mv:20961 misc:1597 imb:1104 pmb:1338 smb:1158 d:s ref:0 ;
in:57 out:57 type:B dur:2 cpbdur:2 q:21.73 aq:12.84 tex:26023 mv:17764 misc:2493 imb:208 pmb:1691 smb:1701 d:s ref:0 ;
in:56 out:58 type:b dur:2 cpbdur:2 q:21.73 aq:13.75 tex:12723 mv:12391 misc:2758 imb:112 pmb:1370 smb:2118 d:s ref:0 ;
in:58 out:59 type:b dur:2 cpbdur:2 q:21.73 aq:13.81 tex:14159 mv:12496 misc:2809 imb:116 pmb:1384 smb:2100 d:- ref:0 ;
in:61 out:60 type:P dur:2 cpbdur:2 q:21.20 aq:8.99 tex:363086 mv:21169 misc:481 imb:2524 pmb:321 smb:755 d:s ref:0 ;
in:60 out:61 type:b dur:2 cpbdur:2 q:21.73 aq:13.91 tex:19760 mv:10564 misc:2804 imb:247 pmb:1104 smb:2249 d:s ref:0 ;
in:65 out:62 type:P dur:2 cpbdur:2 q:20.96 aq:9.05 tex:107441 mv:13367 misc:1600 imb:577 pmb:1437 smb:1586 d:s ref:0 ;
in:63 out:63 type:B dur:2 cpbdur:2 q:21.20 aq:12.45 tex:13545 mv:3366 misc:2345 imb:4 pmb:744 smb:2852 d:s ref:0 ;
in:62 out:64 type:b dur:2 cpbdur:2 q:21.20 aq:13.93 tex:5666 mv:2740 misc:2026 imb:5 pmb:554 smb:3041 d:s ref:0 ;
in:64 out:65 type:b dur:2 cpbdur:2 q:21.19 aq:14.68 tex:4511 mv:2102 misc:1803 imb:3 pmb:420 smb:3177 d:- ref:0 ;
in:69 out:66 type:P dur:2 cpbdur:2 q:21.20 aq:10.16 tex:129233 mv:15370 misc:1325 imb:527 pmb:1316 smb:1757 d:s ref:0 ;
in:67 out:67 type:B dur:2 cpbdur:2 q:21.20 aq:13.13 tex:20980 mv:8200 misc:2260 imb:19 pmb:1112 smb:2469 d:s ref:0 ;
in:66 out:68 type:b dur:2 cpbdur:2 q:21.20 aq:14.71 tex:8469 mv:3891 misc:2016 imb:15 pmb:640 smb:2945 d:s ref:0 ;
in:68 out:69 type:b dur:2 cpbdur:2 q:21.20 aq:13.96 tex:6820 mv:3961 misc:2083 imb:6 pmb:670 smb:2924 d:- ref:0 ;
in:73 out:70 type:P dur:2 cpbdur:2 q:20.67 aq:10.24 tex:84716 mv:11614 misc:1598 imb:442 pmb:1367 smb:1791 d:s ref:0 ;
in:71 out:71 type:B dur:2 cpbdur:2 q:21.20 aq:12.82 tex:13312 mv:4638 misc:2186 imb:5 pmb:850 smb:2745 d:s ref:0 ;
in:70 out:72 type:b dur:2 cpbdur:2 q:21.20 aq:13.72 tex:7545 mv:3949 misc:2114 imb:4 pmb:707 smb:2889 d:s ref:0 ;
in:72 out:73 type:b dur:2 cpbdur:2 q:21.19 aq:13.73 tex:4812 mv:2234 misc:1898 imb:6 pmb:495 smb:3099 d:- ref:0 ;
in:76 out:74 type:P dur:2 cpbdur:2 q:20.22 aq:10.37 tex:82134 mv:11135 misc:1643 imb:358 pmb:1352 smb:1890 d:s ref:0 ;
in:75 out:75 type:B dur:2 cpbdur:2 q:20.67 aq:14.21 tex:7634 mv:2391 misc:1735 imb:6 pmb:427 smb:3167 d:s ref:0 ;
in:74 out:76 type:b dur:2 cpbdur:2 q:20.67 aq:13.96 tex:7743 mv:3545 misc:2128 imb:4 pmb:714 smb:2882 d:s ref:0 ;
in:80 out:77 type:P dur:2 cpbdur:2 q:19.84 aq:10.85 tex:319064 mv:19121 misc:495 imb:2631 pmb:130 smb:839 d:s ref:0 ;
in:78 out:78 type:B dur:2 cpbdur:2 q:20.21 aq:12.14 tex:43059 mv:5597 misc:2144 imb:35 pmb:1188 smb:2377 d:s ref:0 ;
in:77 out:79 type:b dur:2 cpbdur:2 q:20.21 aq:13.85 tex:6661 mv:1721 misc:1722 imb:4 pmb:410 smb:3186 d:s ref:0 ;
in:79 out:80 type:b dur:2 cpbdur:2 q:20.21 aq:13.42 tex:12617 mv:2537 misc:1798 imb:20 pmb:575 smb:3005 d:- ref:0 ;
in:84 out:81 type:P dur:2 cpbdur:2 q:19.24 aq:10.40 tex:185629 mv:23982 misc:909 imb:896 pmb:1724 smb:980 d:s ref:0 ;
in:82 out:82 type:B dur:2 cpbdur:2 q:19.83 aq:11.74 tex:52202 mv:20803 misc:2099 imb:250 pmb:1936 smb:1414 d:s ref:0 ;
in:81 out:83 type:b dur:2 cpbdur:2 q:19.83 aq:12.72 tex:24901 mv:13244 misc:2663 imb:152 pmb:1433 smb:2015 d:s ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:19.83 aq:12.87 tex:26846 mv:13023 misc:2651 imb:137 pmb:1488 smb:1975 d:- ref:0 ;
in:88 out:85 type:P dur:2 cpbdur:2 q:19.28 aq:10.30 tex:232485 mv:24566 misc:893 imb:1148 pmb:1548 smb:904 d:s ref:0 ;
in:86 out:86 type:B dur:2 cpbdur:2 q:19.28 aq:12.06 tex:69817 mv:21744 misc:1895 imb:263 pmb:1998 smb:1339 d:s ref:0 ;
in:85 out:87 type:b dur:2 cpbdur:2 q:19.28 aq:12.74 tex:32360 mv:13255 misc:2609 imb:124 pmb:1535 smb:1941 d:s ref:0 ;
in:87 out:88 type:b dur:2 cpbdur:2 q:19.28 aq:12.80 tex:39529 mv:15628 misc:2435 imb:186 pmb:1718 smb:1696 d:- ref:0 ;
in:92 out:89 type:P dur:2 cpbdur:2 q:19.16 aq:9.94 tex:214471 mv:23709 misc:884 imb:913 pmb:1716 smb:971 d:s ref:0 ;
in:90 out:90 type:B dur:2 cpbdur:2 q:19.28 aq:11.82 tex:74605 mv:21565 misc:1766 imb:291 pmb:2019 smb:1290 d:s ref:0 ;
in:89 out:91 type:b dur:2 cpbdur:2 q:19.28 aq:13.31 tex:38619 mv:15535 misc:2470 imb:141 pmb:1620 smb:1839 d:s ref:0 ;
in:91 out:92 type:b dur:2 cpbdur:2 q:19.28 aq:13.51 tex:35011 mv:13306 misc:2523 imb:118 pmb:1674 smb:1808 d:- ref:0 ;
in:95 out:93 type:P dur:2 cpbdur:2 q:19.23 aq:10.06 tex:143319 mv:20135 misc:1258 imb:713 pmb:1774 smb:1113 d:s ref:0 ;
in:94 out:94 type:B dur:2 cpbdur:2 q:19.23 aq:11.64 tex:55608 mv:14539 misc:2381 imb:167 pmb:1693 smb:1740 d:s ref:0 ;
in:93 out:95 type:b dur:2 cpbdur:2 q:19.23 aq:12.42 tex:33906 mv:13774 misc:2472 imb:118 pmb:1696 smb:1786 d:s ref:0 ;
